ID,BaseMean,log2FC,lfcSE,stat,pvalue,padj,ClusterID
0514,1266.70131103055,5.54456924577006,0.802984628034125,6.90495067053068,5.02208760208711e-12,1.19382196712471e-9,"NA"
6229,9059.0378961706,7.61160380558531,1.10168019188994,6.90908655852983,4.87784277570077e-12,1.19382196712471e-9,Lantipeptide(venezuelin)
0496,1075.8421072986,6.36090823586077,0.932029520602108,6.82479266509875,8.80523920344993e-12,2.02095421166078e-9,"NA"
0494,1279.78441463724,6.60744341461706,0.978577264005893,6.75209169235028,1.45728724579794e-11,3.23323463601036e-9,"NA"
6257,2782.03646520474,8.35771361178954,1.23948313531551,6.7429022417978,1.55253675196648e-11,3.33344665196417e-9,Lantipeptide(venezuelin)
6240,2912.72833513731,8.49848884603379,1.27941454354564,6.6424826018328,3.08443082959956e-11,6.41561612556709e-9,Lantipeptide(venezuelin)
0497,648.332726933191,6.40638272640297,0.976692594769494,6.55926210632826,5.40746839900305e-11,1.08684110120135e-8,"NA"
6242,971.16327912702,8.66291512821375,1.32150642687107,6.55533333176815,5.55177245205015e-11,1.08684110120135e-8,Lantipeptide(venezuelin)
0513,1202.20117181584,5.4899619909652,0.838167151715539,6.54996080403352,5.75521869750187e-11,1.09447816144493e-8,"NA"
6244,1278.55326650525,8.72717650757166,1.33387371228662,6.54273071519709,6.04055421798331e-11,1.11683135763602e-8,Lantipeptide(venezuelin)
0491,491.766331900907,4.29831643603236,0.658320096493775,6.52921953761592,6.61132851841676e-11,1.18932439509681e-8,"NA"
0517,906.92568519994,4.9215487563562,0.75476034409286,6.5206774506302,6.99905494206149e-11,1.22593972879898e-8,"NA"
6259,1476.25032039004,9.62741333343823,1.4800267224703,6.50489155855862,7.77494457986757e-11,1.32692387496407e-8,Lantipeptide(venezuelin)
0493,1964.22487494972,5.84479998540456,0.899370152860914,6.49877024138742,8.09792247361321e-11,1.34749429960924e-8,"NA"
6252,919.210621449336,9.21199176408776,1.41979659386604,6.48824754467397,8.68405166551732e-11,1.40978165574837e-8,Lantipeptide(venezuelin)
6220,2344.98416005598,4.51366722368967,0.697272761768199,6.47331642819886,9.58748769663656e-11,1.51938852640031e-8,Lantipeptide(venezuelin)
