geneid,Log2FC,Lsr2_bound,ClusterID
5236,2.593840652,Not Bound,NA
5310,2.280107919,Not Bound,NA
5429,2.855989697,Not Bound,NA
5430,3.141773961,Not Bound,NA
5431,3.005143303,Not Bound,NA
5432,2.777607579,Not Bound,NA
5442,5.50779464,Not Bound,NA
5443,5.554588852,Not Bound,NA
5444,4.485426827,Not Bound,NA
5445,2.256339753,Not Bound,NA
5447,3.987060944,Bound,NA
5448,5.790076931,Bound,NA
5449,NA,Not Bound,NA
5450,4.64385619,Not Bound,NA
5451,NA,Not Bound,NA
5452,NA,Not Bound,NA
5453,NA,Not Bound,NA
5454,NA,Not Bound,NA
5455,6.22881869,Not Bound,NA
5456,5.523561956,Bound,NA
5457,6.894817763,Not Bound,NA
5476,-2.415037499,Not Bound,Siderophore2
5515,4.280107919,Bound,NA
5530,2.60334103,Not Bound,NA
5558,3.169925001,Not Bound,NA
5562,2.862496476,Not Bound,NA
5563,2.62935662,Not Bound,NA
5572,5.523561956,Not Bound,NA
5573,5.64385619,Not Bound,NA
5574,4.95419631,Not Bound,NA
5575,5.303780748,Not Bound,NA
5576,4.392317423,Not Bound,NA
5583,2.485426827,Not Bound,NA
5584,2.502500341,Not Bound,NA
5588,-3.321928095,Not Bound,NA
5665,3.300394933,Not Bound,NA
5666,4.539158811,Bound,NA
5667,3.622051819,Not Bound,NA
5717,2.459431619,Not Bound,NA
5726,5.303780748,Bound,NA
5727,3.64385619,Not Bound,NA
5763,2.517058436,Not Bound,NA
5800,-3.386581053,Not Bound,NA
5801,-3.478047297,Not Bound,NA
5802,-3.058893689,Not Bound,NA
5805,-3.054447784,Not Bound,NA
5806,-3.095157233,Not Bound,NA
5812,2.171271427,Not Bound,NA
5818,2.318405028,Not Bound,Bacteriocin1
5819,2.775293713,Not Bound,Bacteriocin1
5820,2.918863237,Not Bound,Bacteriocin1
5878,-2.906890596,Not Bound,NA
5880,-3.584962501,Not Bound,NA
5952,2.290219235,Not Bound,Butyrolactone/T2PKS
5953,3.011227255,Not Bound,Butyrolactone/T2PKS
5954,3.564784619,Not Bound,Butyrolactone/T2PKS
5955,2.887525271,Not Bound,Butyrolactone/T2PKS
5956,2.64689025,Not Bound,Butyrolactone/T2PKS
5959,5.857980995,Not Bound,Butyrolactone/T2PKS
5963,2.295455884,Bound,Butyrolactone/T2PKS
5965,3.748628512,Not Bound,Butyrolactone/T2PKS
5966,3.569365646,Not Bound,Butyrolactone/T2PKS
5967,3.220876189,Not Bound,Butyrolactone/T2PKS
5976,3.099535674,Not Bound,Butyrolactone/T2PKS
5977,3.273018494,Not Bound,Butyrolactone/T2PKS
5980,2.152003093,Not Bound,Butyrolactone/T2PKS
5981,2.716207034,Not Bound,Butyrolactone/T2PKS
5982,2.426264755,Not Bound,Butyrolactone/T2PKS
5983,2.807354922,Not Bound,Butyrolactone/T2PKS
5984,2.201633861,Not Bound,Butyrolactone/T2PKS
5986,2.963474124,Not Bound,Butyrolactone/T2PKS
5987,2.044394119,Not Bound,Butyrolactone/T2PKS
6077,2.195550809,Not Bound,NA
6078,2.514573173,Not Bound,NA
6086,3.672425342,Not Bound,NA
6087,3.011972642,Not Bound,NA
6088,3.050626073,Not Bound,NA
6091,4.781359714,Not Bound,NA
6092,4,Not Bound,NA
6093,4.83541884,Not Bound,NA
6094,4.142957954,Not Bound,NA
6095,2.523561956,Not Bound,NA
6096,3.64385619,Not Bound,NA
6102,2.14577114,Not Bound,NA
6110,2.974004791,Not Bound,NA
6111,3.62058641,Not Bound,NA
6179,-2.560714954,Not Bound,Other3
6197,2.614709844,Not Bound,Other3
6198,2.285402219,Not Bound,Other3
6199,2.395928676,Not Bound,Other3
6211,3.693022247,Not Bound,NRPS-ladderane
6212,3.235216462,Not Bound,NRPS-ladderane
6213,3.560714954,Not Bound,NRPS-ladderane
6214,4.124425453,Not Bound,NRPS-ladderane
6215,3.9795681,Not Bound,NRPS-ladderane
6216,3.832890014,Not Bound,NRPS-ladderane
6217,5.431762646,Bound,NRPS-ladderane
6218,5.406748291,Not Bound,NRPS-ladderane
6219,5.254038048,Bound,NRPS-ladderane
6220,4.740118043,Not Bound,NRPS-ladderane
6223,3.700439718,Not Bound,NRPS-ladderane
6224,3.421463768,Bound,NRPS-ladderane
6225,2.471305719,Not Bound,NRPS-ladderane
6226,NA,Not Bound,NRPS-ladderane
6227,7.6794801,Not Bound,NRPS-ladderane
6228,7.669593751,Not Bound,NRPS-ladderane
6229,7.715008647,Not Bound,NRPS-ladderane
6230,NA,Bound,NRPS-ladderane
6236,10.94397991,Not Bound,NRPS-ladderane
